ID,First Name,Last Name (optional),Password Hash,Email,Phone Number,City,Suburb,Potential Donations,Skills,Struggling?
1,Kimball,Ancliff,$2a$04$G2HUkf4n.DgD2aR8hhYEFALSEgbL9z6yDHqAavwcNq7.TZPGvZGt3u8S,kancliff0@stumbleupon.com,+1 552 910 2802,Los Angeles,,,International HR,FALSE
2,Gillie,Scamaden,$2a$04$5rApOL9ZrnHxd9vUkzikFALSEXDo/radOPdeefwoc2QAUcdfl.pXzWn.,gscamaden1@dailymotion.com,+57 362 520 9271,Bogota,,Food - Prepared Foods,MPBGP,FALSE
3,Bertina,Sherrell,$2a$04$/x2EB/mYyBHKk6gKyjtate9983DI1QsX2XCE3lE.gyTfDpCl6IwhK,bsherrell2@psu.edu,+1 169 451 3020,New York City,Brooklyn,,,FALSE
4,Gaye,Wycliffe,$2a$04$G7AjRD/l7EUSeQ8XICmLJuTfcc9FLK6614q3r6XiAj18fopP7.y4a,gwycliffea@bloglines.com,,Bogota,,,RDBMS,TRUE
5,Shannan,,$2a$04$TjwRmDH26IVPRxrvjXp6iuYil78eTFdv8cu8BMVXubi36psIFs4ZK,,,New York City,,,Financial Accounting,FALSE
6,Jacki,Polleye,$2a$04$Du3EXz6TYIU6fN9CoKf7q.76yK8aLp04uMKQ9jaZnZrJWQLLZg5tS,jpolleye5@joomla.org,+66 778 458 9154,Bangkok,,,SAP SD Module,FALSE
7,Rodi,Embury,$2a$04$b3wZoP3VORnY7ItuI9vUxOSRg0OFI6XKDHr8TMjY5Aqd6gP7.RJsS,rembury6@storify.com,+34 492 617 1729,Madrid,,Kitchen,,FALSE
8,Ricky,,$2a$04$m5fmuNmTbNyE4B8RqdNx6eO/10AkXp2ow3aKyX6whbBxp7LO1viLO,rhumphrey7@imdb.com,,Bogota,,,Tour Management,FALSE
9,Bear,,$2a$04$gfPJ.V9KU.IPULTXGV7oEu1Q1hQb7a3i3w68gAYeEx9JeUizQ53SG,bmatthewsonh@hao123.com,+52 694 388 6804,Mexico City,,,AOD,TRUE
10,Dolores,Joron,$2a$04$Ciq/jX3FhHxXCgUbEUwVzegWVSB5X7qDKSOkaRnZr7fSngB0Pq6uy,djoron9@etsy.com,,Seoul,,,Computer Science,FALSE
11,Ileane,,$2a$04$C5sEVOPc9o07BM/tceA79eVM2Y41DAqkUAJIt97vwMPSQnCikIip.,,+852 477 180 0716,Hong Kong,Lam Tin,Clothing,Oversight,TRUE
12,Marika,Eldrett,$2a$04$fc6wAXgT8d5EXbeXn1zh4OmG922FPATL41ptmWq/vZfA21o0co0Tu,,+1 368 406 3162,New York City,,,HBDI,TRUE
13,Lynnette,,$2a$04$ncD50OzDZ.yqZ7OakXZxpunUi6bjyVT42M5Dd4JcjCeXAvZw7Yw7i,lguwerc@dot.gov,+1 539 960 8070,New York City,,,,FALSE
14,Laureen,,$2a$04$PV3wqmVfWT6kCy3yDZHipeqa7L//45.v7OKyzytsSxLpiGc7hIVnC,ldcostad@desdev.cn,+974 310 472 5885,Doha,,Outdoor,Church Events,FALSE
15,Olimpia,,$2a$04$wyRdN7tm/MSynKbaZHAKOOEi5eYzdXfEA7xjIv2D8v3O/a9hNJxBy,orapsey1f@histats.com,+1 816 659 7494,Los Angeles,,,Rugs,TRUE
16,Panchito,Croisier,$2a$04$nubCYTWl7bcmy42Y5gwtLehDrEypxFcIzkBVvp8nQIQJDjQPKlPFK,pcroisierf@wordpress.com,+34 602 883 3284,Madrid,,Toys,TF-CBT,FALSE
17,Bram,Tytler,$2a$04$mxh2pHN6PzsNIcYc.KxCm.7twQJGwCGudTle2PmSFwZDjQz1xNxRa,btytler1d@furl.net,,Copenhagen,,Food - Snacks,AJAX Toolkit,TRUE
18,Roxanna,Greenroad,$2a$04$qk9K8m.Qrx8UjChvdLDDXOML1ljgLvBi5C0yXj8o/5E6DPBv.SZuG,rgreenroadr@wisc.edu,+91 980 621 5151,Delhi,,Home Improvement,RCDD,TRUE
19,Anton,,$2a$04$HSTGlkajqW9igMPYN2iNzepL/W4ML0Q49onE5fo90C5oiI2.SI/bK,aandrinie@cdbaby.com,+45 928 924 2000,Copenhagen,,Food - Frozen Meals,Public Relations,TRUE
20,Rainer,Agget,$2a$04$qwXNaZIqq7SK7C3UA6N/E.UJeLEewYmbJHtUTC5earo4oMIQYL8Jy,ragget1y@nytimes.com,+974 735 945 5918,Doha,,,Commercial Property Owners,TRUE
21,Lexine,Conford,$2a$04$FQ15JtVXZG4UgaeBhhWtL.PxJzPTjdTe1p7at7Vxe728ZgGGxNJtq,lconford17@utexas.edu,+45 176 646 6311,Copenhagen,,Food - Baking,,TRUE
22,Mignon,Cornilleau,$2a$04$3CAABSOm60MAkVEy11erVuF4bdwQlU1OmBUvC12oP.vl77uNGyffW,,+91 383 471 4835,Delhi,,Automotive,,TRUE
23,Brennan,Hovenden,$2a$04$dDPiPNPbVadBmJLzzHrCweY6ZuojBhPS0Cw066OggH9RO/xOz509e,bhovendenm@springer.com,+55 749 698 8646,Sao Paulo,,Clothing - Activewear,IOS Firewall,FALSE
24,Nancee,Nickless,$2a$04$Tk52dDIMcX4/g8wc.VYPxe76c1QPvcfGd4crYNc2Z.iDWIV05QFiK,,+1 373 820 2669,New York City,,Food - Salads,Glazing,TRUE
25,Jamaal,Cristofanini,$2a$04$GRJIkeZHpEoJsrYKoybfyOcDdtBzKCQG7mAo2HjuLu0BSxFd1lMsq,jcristofaninik@youtu.be,+82 711 450 8114,Seoul,,,Classroom Management,TRUE
26,Pearle,Collison,$2a$04$xjsVgjpcU0wHkxJvYcSD8.ebEwq61UtCO6i.WXGf31qh41YJlR2NW,pcollisonp@themeforest.net,+251 754 602 6177,Addis Ababa,,,User Experience Design,FALSE
